program_id,university_id,university_name,province,city,program_name,degree_level,field_category,duration_years,eligibility,fee_per_year,required_traits,apply_url
fest_00001,ned,NED University of Engineering & Technology,Sindh,Karachi,BE Electrical Engineering,Bachelors,Engineering,4,Pre-Eng ≥60% + ECAT/entry test.,120749,"Quantitative, Practical, Problem-solving",https://www.neduet.edu.pk/admissions
fest_00002,ned,NED University of Engineering & Technology,Sindh,Karachi,BE Mechanical Engineering,Bachelors,Engineering,4,Pre-Eng ≥60% + ECAT/entry test.,120749,"Hands-on, Analytical, Systems-thinking",https://www.neduet.edu.pk/admissions
fest_00003,ned,NED University of Engineering & Technology,Sindh,Karachi,BE Civil Engineering,Bachelors,Engineering,4,Pre-Eng ≥60% + ECAT/entry test.,120749,"Detail-oriented, Field-ready, Analytical",https://www.neduet.edu.pk/admissions
fest_00004,ned,NED University of Engineering & Technology,Sindh,Karachi,BSc Engineering (Computer/Software),Bachelors,Engineering,4,Pre-Eng/ICS ≥60% + entry test.,120749,"Logical, Coding, Teamwork",https://www.neduet.edu.pk/admissions
fest_00005,ned,NED University of Engineering & Technology,Sindh,Karachi,MS Electrical Engineering,Masters,Engineering,2,BE/BS Engg + GAT/test.,120749,"Research, Analytical, Design",https://www.neduet.edu.pk/admissions
fest_00006,ned,NED University of Engineering & Technology,Sindh,Karachi,PhD Engineering,PhD,Engineering,3,MS/MPhil Engg + proposal.,120749,"Research, Innovation, Persistence",https://www.neduet.edu.pk/admissions
fest_00007,ned,NED University of Engineering & Technology,Sindh,Karachi,BS Computer Science,Bachelors,IT,4,ICS/Pre-Eng ≥60% + admission test.,120749,"Analytical, Logical, Problem-solver",https://www.neduet.edu.pk/admissions
fest_00008,ned,NED University of Engineering & Technology,Sindh,Karachi,BS Software Engineering,Bachelors,IT,4,ICS/Pre-Eng ≥60% + admission test.,120749,"Detail-oriented, Teamwork, Coding",https://www.neduet.edu.pk/admissions
fest_00009,ned,NED University of Engineering & Technology,Sindh,Karachi,BS Data Science,Bachelors,IT,4,ICS ≥60% + admission test.,120749,"Quantitative, Curious, Analytical",https://www.neduet.edu.pk/admissions
fest_00010,ned,NED University of Engineering & Technology,Sindh,Karachi,BS Artificial Intelligence,Bachelors,IT,4,ICS ≥60% + admission test.,120749,"Innovative, Analytical, Math-friendly",https://www.neduet.edu.pk/admissions
fest_00011,ned,NED University of Engineering & Technology,Sindh,Karachi,MS Computer Science,Masters,IT,2,16-year CS/SE/IT + GAT/test.,120749,"Research-minded, Persistent, Coding",https://www.neduet.edu.pk/admissions
fest_00012,ned,NED University of Engineering & Technology,Sindh,Karachi,PhD Computer Science,PhD,IT,3,MS/MPhil in CS or related + proposal.,120749,"Research, Persistence, Innovation",https://www.neduet.edu.pk/admissions
fest_00013,duet,Dawood University of Engineering & Technology (DUET),Sindh,Karachi,BE Electrical Engineering,Bachelors,Engineering,4,Pre-Eng ≥60% + ECAT/entry test.,92000,"Quantitative, Practical, Problem-solving",https://www.duet.edu.pk/admissions
fest_00014,duet,Dawood University of Engineering & Technology (DUET),Sindh,Karachi,BE Mechanical Engineering,Bachelors,Engineering,4,Pre-Eng ≥60% + ECAT/entry test.,92000,"Hands-on, Analytical, Systems-thinking",https://www.duet.edu.pk/admissions
fest_00015,duet,Dawood University of Engineering & Technology (DUET),Sindh,Karachi,BE Civil Engineering,Bachelors,Engineering,4,Pre-Eng ≥60% + ECAT/entry test.,92000,"Detail-oriented, Field-ready, Analytical",https://www.duet.edu.pk/admissions
fest_00016,duet,Dawood University of Engineering & Technology (DUET),Sindh,Karachi,BSc Engineering (Computer/Software),Bachelors,Engineering,4,Pre-Eng/ICS ≥60% + entry test.,92000,"Logical, Coding, Teamwork",https://www.duet.edu.pk/admissions
fest_00017,duet,Dawood University of Engineering & Technology (DUET),Sindh,Karachi,MS Electrical Engineering,Masters,Engineering,2,BE/BS Engg + GAT/test.,92000,"Research, Analytical, Design",https://www.duet.edu.pk/admissions
fest_00018,duet,Dawood University of Engineering & Technology (DUET),Sindh,Karachi,PhD Engineering,PhD,Engineering,3,MS/MPhil Engg + proposal.,92000,"Research, Innovation, Persistence",https://www.duet.edu.pk/admissions
fest_00019,duet,Dawood University of Engineering & Technology (DUET),Sindh,Karachi,BS Computer Science,Bachelors,IT,4,ICS/Pre-Eng ≥60% + admission test.,92000,"Analytical, Logical, Problem-solver",https://www.duet.edu.pk/admissions
fest_00020,duet,Dawood University of Engineering & Technology (DUET),Sindh,Karachi,BS Software Engineering,Bachelors,IT,4,ICS/Pre-Eng ≥60% + admission test.,92000,"Detail-oriented, Teamwork, Coding",https://www.duet.edu.pk/admissions
fest_00021,duet,Dawood University of Engineering & Technology (DUET),Sindh,Karachi,BS Data Science,Bachelors,IT,4,ICS ≥60% + admission test.,92000,"Quantitative, Curious, Analytical",https://www.duet.edu.pk/admissions
fest_00022,duet,Dawood University of Engineering & Technology (DUET),Sindh,Karachi,BS Artificial Intelligence,Bachelors,IT,4,ICS ≥60% + admission test.,92000,"Innovative, Analytical, Math-friendly",https://www.duet.edu.pk/admissions
fest_00023,duet,Dawood University of Engineering & Technology (DUET),Sindh,Karachi,MS Computer Science,Masters,IT,2,16-year CS/SE/IT + GAT/test.,92000,"Research-minded, Persistent, Coding",https://www.duet.edu.pk/admissions
fest_00024,duet,Dawood University of Engineering & Technology (DUET),Sindh,Karachi,PhD Computer Science,PhD,IT,3,MS/MPhil in CS or related + proposal.,92000,"Research, Persistence, Innovation",https://www.duet.edu.pk/admissions
fest_00025,fast-khi,FAST-NUCES Karachi,Sindh,Karachi,BE Electrical Engineering,Bachelors,Engineering,4,Pre-Eng ≥60% + ECAT/entry test.,459999,"Quantitative, Practical, Problem-solving",https://nu.edu.pk/admissions
fest_00026,fast-khi,FAST-NUCES Karachi,Sindh,Karachi,BE Mechanical Engineering,Bachelors,Engineering,4,Pre-Eng ≥60% + ECAT/entry test.,459999,"Hands-on, Analytical, Systems-thinking",https://nu.edu.pk/admissions
fest_00027,fast-khi,FAST-NUCES Karachi,Sindh,Karachi,BE Civil Engineering,Bachelors,Engineering,4,Pre-Eng ≥60% + ECAT/entry test.,459999,"Detail-oriented, Field-ready, Analytical",https://nu.edu.pk/admissions
fest_00028,fast-khi,FAST-NUCES Karachi,Sindh,Karachi,BSc Engineering (Computer/Software),Bachelors,Engineering,4,Pre-Eng/ICS ≥60% + entry test.,459999,"Logical, Coding, Teamwork",https://nu.edu.pk/admissions
fest_00029,fast-khi,FAST-NUCES Karachi,Sindh,Karachi,MS Electrical Engineering,Masters,Engineering,2,BE/BS Engg + GAT/test.,459999,"Research, Analytical, Design",https://nu.edu.pk/admissions
fest_00030,fast-khi,FAST-NUCES Karachi,Sindh,Karachi,PhD Engineering,PhD,Engineering,3,MS/MPhil Engg + proposal.,459999,"Research, Innovation, Persistence",https://nu.edu.pk/admissions
fest_00031,fast-khi,FAST-NUCES Karachi,Sindh,Karachi,BS Computer Science,Bachelors,IT,4,ICS/Pre-Eng ≥60% + admission test.,459999,"Analytical, Logical, Problem-solver",https://nu.edu.pk/admissions
fest_00032,fast-khi,FAST-NUCES Karachi,Sindh,Karachi,BS Software Engineering,Bachelors,IT,4,ICS/Pre-Eng ≥60% + admission test.,459999,"Detail-oriented, Teamwork, Coding",https://nu.edu.pk/admissions
fest_00033,fast-khi,FAST-NUCES Karachi,Sindh,Karachi,BS Data Science,Bachelors,IT,4,ICS ≥60% + admission test.,459999,"Quantitative, Curious, Analytical",https://nu.edu.pk/admissions
fest_00034,fast-khi,FAST-NUCES Karachi,Sindh,Karachi,BS Artificial Intelligence,Bachelors,IT,4,ICS ≥60% + admission test.,459999,"Innovative, Analytical, Math-friendly",https://nu.edu.pk/admissions
fest_00035,fast-khi,FAST-NUCES Karachi,Sindh,Karachi,MS Computer Science,Masters,IT,2,16-year CS/SE/IT + GAT/test.,459999,"Research-minded, Persistent, Coding",https://nu.edu.pk/admissions
fest_00036,fast-khi,FAST-NUCES Karachi,Sindh,Karachi,PhD Computer Science,PhD,IT,3,MS/MPhil in CS or related + proposal.,459999,"Research, Persistence, Innovation",https://nu.edu.pk/admissions
fest_00037,fast-khi,FAST-NUCES Karachi,Sindh,Karachi,BBA,Bachelors,Business,4,Intermediate ≥50–60% + test/interview.,440000,"Leadership, Communication, Problem-solving",https://nu.edu.pk/admissions
fest_00038,fast-khi,FAST-NUCES Karachi,Sindh,Karachi,BS Accounting & Finance,Bachelors,Business,4,Intermediate ≥50–60% + test.,440000,"Quantitative, Detail-oriented, Integrity",https://nu.edu.pk/admissions
fest_00039,fast-khi,FAST-NUCES Karachi,Sindh,Karachi,BS Economics,Bachelors,Business,4,Intermediate ≥60% + test.,440000,"Analytical, Quantitative, Research-minded",https://nu.edu.pk/admissions
fest_00040,fast-khi,FAST-NUCES Karachi,Sindh,Karachi,MBA,Masters,Business,2,16-year degree + test/interview.,440000,"Leadership, Strategy, Communication",https://nu.edu.pk/admissions
fest_00041,fast-khi,FAST-NUCES Karachi,Sindh,Karachi,MS Management Sciences,Masters,Business,2,16-year degree + GAT/test.,440000,"Research, Strategy, Quantitative",https://nu.edu.pk/admissions
fest_00042,fast-khi,FAST-NUCES Karachi,Sindh,Karachi,PhD Management Sciences,PhD,Business,3,MS/MPhil + proposal.,440000,"Research, Persistence, Strategic",https://nu.edu.pk/admissions
fest_00043,iobm,Institute of Business Management (IoBM/CBM),Sindh,Karachi,BS Computer Science,Bachelors,IT,4,ICS/Pre-Eng ≥60% + admission test.,546250,"Analytical, Logical, Problem-solver",https://admissions.iobm.edu.pk/
fest_00044,iobm,Institute of Business Management (IoBM/CBM),Sindh,Karachi,BS Software Engineering,Bachelors,IT,4,ICS/Pre-Eng ≥60% + admission test.,546250,"Detail-oriented, Teamwork, Coding",https://admissions.iobm.edu.pk/
fest_00045,iobm,Institute of Business Management (IoBM/CBM),Sindh,Karachi,BS Data Science,Bachelors,IT,4,ICS ≥60% + admission test.,546250,"Quantitative, Curious, Analytical",https://admissions.iobm.edu.pk/
fest_00046,iobm,Institute of Business Management (IoBM/CBM),Sindh,Karachi,BS Artificial Intelligence,Bachelors,IT,4,ICS ≥60% + admission test.,546250,"Innovative, Analytical, Math-friendly",https://admissions.iobm.edu.pk/
fest_00047,iobm,Institute of Business Management (IoBM/CBM),Sindh,Karachi,MS Computer Science,Masters,IT,2,16-year CS/SE/IT + GAT/test.,546250,"Research-minded, Persistent, Coding",https://admissions.iobm.edu.pk/
fest_00048,iobm,Institute of Business Management (IoBM/CBM),Sindh,Karachi,PhD Computer Science,PhD,IT,3,MS/MPhil in CS or related + proposal.,546250,"Research, Persistence, Innovation",https://admissions.iobm.edu.pk/
fest_00049,iobm,Institute of Business Management (IoBM/CBM),Sindh,Karachi,BBA,Bachelors,Business,4,Intermediate ≥50–60% + test/interview.,522500,"Leadership, Communication, Problem-solving",https://admissions.iobm.edu.pk/
fest_00050,iobm,Institute of Business Management (IoBM/CBM),Sindh,Karachi,BS Accounting & Finance,Bachelors,Business,4,Intermediate ≥50–60% + test.,522500,"Quantitative, Detail-oriented, Integrity",https://admissions.iobm.edu.pk/
fest_00051,iobm,Institute of Business Management (IoBM/CBM),Sindh,Karachi,BS Economics,Bachelors,Business,4,Intermediate ≥60% + test.,522500,"Analytical, Quantitative, Research-minded",https://admissions.iobm.edu.pk/
