university_name,city,province,website_url,fest_categories,sample_programs
"Abasyn University, Peshawar",,,http://abasyn.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Bahria University,,,http://www.bahria.edu.pk/,"Engineering,IT/CS","Phd Computer Engineering, Phd Computer Sciences, Phd Electrical Engineering, Phd Software Engineering"
COMSATS University Islamabad,Islamabad,Islamabad Capital Territory,http://comsats.edu.pk,"Engineering,IT/CS","Be Electrical Engineering, Be Mechanical Engineering, Be Civil Engineering, Bsc Engineering (Computer/Software), Ms Electrical Engineering, Phd Engineering, Bs Computer Science, Bs Software Engineering, Bs Data Science, Bs Artificial Intelligence"
"Federal Urdu University of Arts, Science & Technology",,,http://fuuastisb.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Iqra University,Karachi,Sindh,http://www.iqra.edu.pk/,"Engineering,IT/CS","Bs Computer Science, Bs Software Engineering, Bs Data Science, Bs Artificial Intelligence, Ms Computer Science, Phd Computer Science"
Capital University of Science & Technology,,,http://cust.edu.pk,"Engineering,IT/CS,Sciences","Bs Artificial Intelligence, Bs Biochemistry, Bs Biotechnology, Bs Civil Engineering, Bs Computer Engineering, Bs Computer Science, Bs Electrical Engineering, Bs Mathematics With Data Science, Bs Mechanical Engineering, Bs Software Engineering"
Pakistan Institute of Engineering and Applied Sciences,,,http://www.pieas.edu.pk/,Engineering,"Be The Best Engineering University In Pakis, Phd Program In Nuclear Engineering"
National University of Technology,,,http://nutech.edu.pk,"Engineering,IT/CS","Bs Artificial Intelligence, Bs Civil Engineering, Bs Civil Engineering Technology, Bs Computer Engineering, Bs Computer Science, Bs Electrical Engineering, Bs Information Technology Since, Bs Mechanical Engineering, Bs Software Engineering, Ms Civil Engineering"
Pakistan Institute of Engineering and Technology,,,http://piet.edu.pk,"Engineering,IT/CS","Be Civil Engineering, Be Electrical Engineering, Be Mechanical Engineering, Bs Computer Science"
HITEC University,,,http://www.hitecuni.edu.pk,Engineering,"Bs In Mechanical And Electrical Engineering, Phd Electrical Engineering"
Information Technology University (Lahore),,,http://itu.edu.pk,"Engineering,IT/CS","Bs Computer Engineering, Bs Computer Science, Bs Economics With Data Science, Bs Electrical Engineering, Ms Computer Science, Ms Data Science, Ms Electrical Engineering, Phd Computer Science, Phd Electrical Engineering"
NFC Institute of Engineering and Technology,,,http://nfciet.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Wah Cantonment,,,https://repository.lahoreschool.edu.pk/xmlui/bitstream/handle/123456789/13673/Administrative%20Units.pdf?isAllowed=y&sequence=1,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
University of Central Punjab,,,http://ucp.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
"University of Agriculture, Faisalabad",,,http://web.uaf.edu.pk,"Engineering,IT/CS,Sciences","Bs Agricultural Biotechnology, Bs Computer Science, Bs Information Technology, Bs Software Engineering, Phd Environmental & Resource Economics"
"University of Engineering and Technology, Taxila",,,http://uettaxila.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
University of Engineering and Technology Faisalabad Campus,,,http://uet.edu.pk/campus?RID=info&campus_id=3,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Rachna College of Engineering and Technology,,,http://rcet.uet.edu.pk,Engineering,"Bsc Electrical Engineering, Bsc Industrial And Manufacturing Engineering, Bsc Mechanical Engineering"
University of Wah,Wah Cantt,Punjab,http://uow.edu.pk,"Engineering,IT/CS","Be Electrical Engineering, Be Mechanical Engineering, Be Civil Engineering, Bsc Engineering (Computer/Software), Ms Electrical Engineering, Phd Engineering, Bs Computer Science, Bs Software Engineering, Bs Data Science, Bs Artificial Intelligence"
"Muhammad Nawaz Sharif University of Engineering and Technology, Multan",,,http://mnsuet.edu.pk,"Engineering,IT/CS,Sciences","Bs Chemistry, Bs Computer Science, Bs Mathematics, Bs Physics, Bsc Chemical Engineering, Bsc Civil Engineering Technology, Bsc Electrical Engineering, Bsc Electrical Engineering Technology, Bsc Mechanical Engineering Technology, Msc Chemical Engineering"
University of Sargodha,,,http://su.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
"Khawaja Fareed University of Engineering and Information Technology, Rahim Yar Khan",,,http://kfueit.edu.pk,"Engineering,IT/CS,Sciences","Bs Agricultural Engineering, Bs Artificial Intelligence, Bs Biochemistry, Bs Biotechnology, Bs Botany, Bs Chemical Engineering, Bs Chemistry, Bs Civil Engineering, Bs Computational Physics, Bs Computer Engineering"
"Quaid-e-Azam College of Engineering and Technology, Sahiwal",,,http://quaideazam.edu.pk,Engineering,"Bsc Civil Engineering, Bsc Civil Engineering Technology, Bsc Electrical Engineering, Bsc Electrical Engineering Technology, Bsc Mechanical Engineering, Bsc Mechanical Engineering Technology"
Namal University,,,http://namal.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
"Minhaj University, Lahore",,,http://mul.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
GIFT University,,,http://gift.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Institute of Southern Punjab,,,http://usp.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Lahore,,,https://dsal.uchicago.edu/reference/gazetteer/text.html?objectid=DS405.1.I34_V16_112.gif,"Engineering,IT/CS,Sciences","Be Subject To Availability Of A Computer L, Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Superior University,,,http://superior.edu.pk,"Engineering,IT/CS","Bs Aviation Engineering Technology, Bs Avionics Engineering, Bs Civil Engineering Technology, Bs Computer Science, Bs Electrical Engineering Technology, Bs Electronics Engineering Technology, Bs Hvac Engineering Technology, Bs Mechanical Engineering Technology, Bs Software Engineering, Ms Computer Sciences"
Dera Ghazi Khan,,,https://mcut.edu.pk/,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
CECOS University of Information Technology and Emerging Sciences,,,http://www.cecos.edu.pk/,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Qurtuba University,,,http://www.qurtuba.edu.pk,"IT/CS,Sciences","M.Phil Physics, Ms Computer Science"
"City University of Science and Information Technology, Peshawar",,,http://cityuniversity.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
"University of Engineering and Technology, Peshawar",,,http://uetpeshawar.edu.pk,"Engineering,IT/CS","Bs Program Focused On Software Development, Phd Software Engineering, Phd Telecom Engineering"
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,,,http://www.giki.edu.pk/,"Engineering,Sciences","Bs Civil Engineering Program, Bs Degree Program In Electrical Engineering, Ms And Phd Degree Programs In Applied Mathe"
IQRA National University,,,https://www.inu.edu.pk/,Engineering,"Ms Electrical Engineering, Ms Engineering Management"
Peshawar,,,https://web.archive.org/web/20190719134124/https://www.asc-centralasia.edu.pk/Issue_69/07_waqar.html,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Gomal University,,,http://www.gu.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology,,,http://szabist.edu.pk,"Engineering,IT/CS,Sciences","Be Mechatronic Engineering Program Is Accre, Be Mechatronics Engineering, Bs Artificial Intelligence And Ms Data Scie, Bs Biotechnology, Bs Computer Science, Bs Software Engineering Ms Computer Science"
Dawood University of Engineering and Technology,,,http://duet.edu.pk,"Engineering,IT/CS,Sciences","Be Chemical Engineering, Be Computer System Engineering, Be Electronic Engineering, Be Energy And Environment Engineering, Be Industrial Engineering And Management, Be Metallurgy And Materials Engineering, Be Petroleum And Gas Engineering, Be Telecommunication Engineering, Bs Artificial Intelligence, Bs Chemistry"
Karachi,,,https://web.archive.org/web/20100602055513/http://www.cidcm.umd.edu/mar/chronology.asp?groupId=77103,IT/CS,Be Fully Computerised
DHA Suffa University,,,https://www.dsu.edu.pk/,Sciences,Bs Computational & Industrial Mathematics
Institute of Business Management,,,https://www.iobm.edu.pk,"Engineering,IT/CS,Sciences","Be Electrical Engineering, Be Electrical Engineering In Electronic And, Bs Computer Science, Bs Data Science, Bs Data Science And Bs Software Engineering, Bs Mathematics And Computational Finance, Bs Mathematics And Economics, Bs Software Engineering, Bs Statistics And Business Analytics, Ms Computer Science"
Mehran University of Engineering and Technology,,,http://muet.edu.pk,IT/CS,Be Computerized And Untrained Coordinators
Karachi Institute of Economics and Technology,,,https://kiet.edu.pk/,Engineering,Ms In Telecommunication Engineering Was A
"Quaid-e-Awam University of Engineering, Science and Technology",,,http://quest.edu.pk,IT/CS,Be The Most Advanced Software House Ever Bu
"Thar Institute of Engineering, Science, and Technology, Tharparkar",,,http://tiest.neduet.edu.pk,IT/CS,Bs In Computer Science Program
Sir Syed University of Engineering and Technology,,,http://www.ssuet.edu.pk/,"Engineering,IT/CS,Sciences","Bs In Biomedical Engineering, Bs In Biotechnology, Bs In Civil Engineering, Bs In Computer Engineering, Bs In Computer Science, Bs In Electrical Engineering, Bs In Electronic Engineering, Bs In Information Technology, Bs In Mathematics, Bs In Software Engineering"
Sindh Agriculture University,,,http://sau.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Sukkur IBA University,Sukkur,Sindh,http://iba-suk.edu.pk,"Engineering,IT/CS","Bs Computer Science, Bs Software Engineering, Bs Data Science, Bs Artificial Intelligence, Ms Computer Science, Phd Computer Science"
University of Karachi,,,http://uok.edu.pk,Sciences,Phd In Organic Chemistry
Salim Habib University,,,http://shu.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Ziauddin University,,,http://zu.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Balochistan University of Engineering and Technology,,,https://www.buetk.edu.pk/,"Engineering,IT/CS","Be Civil Engineering, Be Computer Systems Engineering, Be Electrical Engineering, Be Electronic Engineering, Be Energy System Engineering, Be Mechanical Engineering, Bs Computer Science, Bs Information Technology, Bs Software Engineering, Ms Computer Science"
Mirpur University of Science and Technology,,,http://www.must.edu.pk/,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
University of Azad Jammu and Kashmir,,,http://www.ajku.edu.pk,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
Washington Accord,,,https://web.archive.org/web/20100215150256/http://www.utar.edu.my/fes/file/OBE.pdf,"Engineering,IT/CS,Sciences","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering, Physics"
