university_name,wiki_url,website_url,programs_detected,offers_FEST,univ_key,program_id,university_id,university_name_fest,province,city,program_name,degree_level,field_category,duration_years,eligibility,fee_per_year,required_traits,apply_url,verified_by_HEC,ranking_tier
"Abasyn University, Peshawar","https://en.wikipedia.org/wiki/Abasyn_University,_Peshawar",http://abasyn.edu.pk,,True,abasyn university peshawar,,,,,,,,,,,,,,False,B
"Air University, Islamabad","https://en.wikipedia.org/wiki/Air_University,_Islamabad",https://au.edu.pk/,"be ms / m phil, be opened in spring, bs and ms programs in mechatronics and b",True,air university islamabad,,,,,,,,,,,,,,False,B
Bahria University,https://en.wikipedia.org/wiki/Bahria_University,http://www.bahria.edu.pk/,"mphil psychology, ms clinical psychology, ms in finance, ms in project management, ms in supply chain, ms maritime ports and shipping management, ms maritime trade and logistics, phd computer engineering, phd computer sciences, phd electrical engineering, phd psychology, phd software engineering",True,bahria university,,,,,,,,,,,,,,False,B
Sir Syed CASE Institute of Technology,https://en.wikipedia.org/wiki/Sir_Syed_CASE_Institute_of_Technology,http://case.edu.pk,"bs medical imaging, bs medical laboratory technology, bs operation theater technology, bs vision sciences and optometry",True,sir syed case institute of technology,,,,,,,,,,,,,,False,B
COMSATS University Islamabad,https://en.wikipedia.org/wiki/COMSATS_University_Islamabad,http://comsats.edu.pk,"bs and bachelor, ms in artificial intelligence, ms in biochemistry and molecular biology, ms in bioinformatics, ms in biosciences, ms in biotechnology, ms in chemical engineering, ms in chemistry, ms in civil engineering, ms in computer engineering, ms in computer science, ms in conflict, ms in development studies, ms in earth sciences, ms in economics, ms in electrical engineering, ms in energy & environmental engineering, ms in english, ms in environmental engineering, ms in environmental sciences, ms in health informatics, ms in information security, ms in international relations, ms in management sciences, ms in mathematics, ms in mechanical engineering, ms in meteorology, ms in microbiology and immunology, ms in molecular genetics, ms in molecular virology, ms in pharmacy, ms in physics, ms in project management, ms in remote sensing & gis, ms in software engineering, ms in statistics, ms in water, phd faculty, phd in biochemistry and molecular biology, phd in biosciences, phd in biotechnology, phd in chemical engineering, phd in chemistry, phd in computer engineering, phd in computer science, phd in development studies, phd in electrical engineering, phd in environmental sciences, phd in management sciences, phd in mathematics, phd in meteorology, phd in microbiology and immunology, phd in molecular genetics, phd in pharmacy, phd in physics, phd in statistics",True,comsats university islamabad,fest_00541,comsats-isb,COMSATS University Islamabad,Islamabad Capital Territory,Islamabad,BE Electrical Engineering,Bachelors,Engineering,4.0,Pre-Eng ≥60% + ECAT/entry test.,201249.0,"Quantitative, Practical, Problem-solving",https://islamabad.comsats.edu.pk/admissions,False,B
COMSATS University Islamabad,https://en.wikipedia.org/wiki/COMSATS_University_Islamabad,http://comsats.edu.pk,"bs and bachelor, ms in artificial intelligence, ms in biochemistry and molecular biology, ms in bioinformatics, ms in biosciences, ms in biotechnology, ms in chemical engineering, ms in chemistry, ms in civil engineering, ms in computer engineering, ms in computer science, ms in conflict, ms in development studies, ms in earth sciences, ms in economics, ms in electrical engineering, ms in energy & environmental engineering, ms in english, ms in environmental engineering, ms in environmental sciences, ms in health informatics, ms in information security, ms in international relations, ms in management sciences, ms in mathematics, ms in mechanical engineering, ms in meteorology, ms in microbiology and immunology, ms in molecular genetics, ms in molecular virology, ms in pharmacy, ms in physics, ms in project management, ms in remote sensing & gis, ms in software engineering, ms in statistics, ms in water, phd faculty, phd in biochemistry and molecular biology, phd in biosciences, phd in biotechnology, phd in chemical engineering, phd in chemistry, phd in computer engineering, phd in computer science, phd in development studies, phd in electrical engineering, phd in environmental sciences, phd in management sciences, phd in mathematics, phd in meteorology, phd in microbiology and immunology, phd in molecular genetics, phd in pharmacy, phd in physics, phd in statistics",True,comsats university islamabad,fest_00542,comsats-isb,COMSATS University Islamabad,Islamabad Capital Territory,Islamabad,BE Mechanical Engineering,Bachelors,Engineering,4.0,Pre-Eng ≥60% + ECAT/entry test.,201249.0,"Hands-on, Analytical, Systems-thinking",https://islamabad.comsats.edu.pk/admissions,False,B
COMSATS University Islamabad,https://en.wikipedia.org/wiki/COMSATS_University_Islamabad,http://comsats.edu.pk,"bs and bachelor, ms in artificial intelligence, ms in biochemistry and molecular biology, ms in bioinformatics, ms in biosciences, ms in biotechnology, ms in chemical engineering, ms in chemistry, ms in civil engineering, ms in computer engineering, ms in computer science, ms in conflict, ms in development studies, ms in earth sciences, ms in economics, ms in electrical engineering, ms in energy & environmental engineering, ms in english, ms in environmental engineering, ms in environmental sciences, ms in health informatics, ms in information security, ms in international relations, ms in management sciences, ms in mathematics, ms in mechanical engineering, ms in meteorology, ms in microbiology and immunology, ms in molecular genetics, ms in molecular virology, ms in pharmacy, ms in physics, ms in project management, ms in remote sensing & gis, ms in software engineering, ms in statistics, ms in water, phd faculty, phd in biochemistry and molecular biology, phd in biosciences, phd in biotechnology, phd in chemical engineering, phd in chemistry, phd in computer engineering, phd in computer science, phd in development studies, phd in electrical engineering, phd in environmental sciences, phd in management sciences, phd in mathematics, phd in meteorology, phd in microbiology and immunology, phd in molecular genetics, phd in pharmacy, phd in physics, phd in statistics",True,comsats university islamabad,fest_00543,comsats-isb,COMSATS University Islamabad,Islamabad Capital Territory,Islamabad,BE Civil Engineering,Bachelors,Engineering,4.0,Pre-Eng ≥60% + ECAT/entry test.,201249.0,"Detail-oriented, Field-ready, Analytical",https://islamabad.comsats.edu.pk/admissions,False,B
COMSATS University Islamabad,https://en.wikipedia.org/wiki/COMSATS_University_Islamabad,http://comsats.edu.pk,"bs and bachelor, ms in artificial intelligence, ms in biochemistry and molecular biology, ms in bioinformatics, ms in biosciences, ms in biotechnology, ms in chemical engineering, ms in chemistry, ms in civil engineering, ms in computer engineering, ms in computer science, ms in conflict, ms in development studies, ms in earth sciences, ms in economics, ms in electrical engineering, ms in energy & environmental engineering, ms in english, ms in environmental engineering, ms in environmental sciences, ms in health informatics, ms in information security, ms in international relations, ms in management sciences, ms in mathematics, ms in mechanical engineering, ms in meteorology, ms in microbiology and immunology, ms in molecular genetics, ms in molecular virology, ms in pharmacy, ms in physics, ms in project management, ms in remote sensing & gis, ms in software engineering, ms in statistics, ms in water, phd faculty, phd in biochemistry and molecular biology, phd in biosciences, phd in biotechnology, phd in chemical engineering, phd in chemistry, phd in computer engineering, phd in computer science, phd in development studies, phd in electrical engineering, phd in environmental sciences, phd in management sciences, phd in mathematics, phd in meteorology, phd in microbiology and immunology, phd in molecular genetics, phd in pharmacy, phd in physics, phd in statistics",True,comsats university islamabad,fest_00544,comsats-isb,COMSATS University Islamabad,Islamabad Capital Territory,Islamabad,BSc Engineering (Computer/Software),Bachelors,Engineering,4.0,Pre-Eng/ICS ≥60% + entry test.,201249.0,"Logical, Coding, Teamwork",https://islamabad.comsats.edu.pk/admissions,False,B
COMSATS University Islamabad,https://en.wikipedia.org/wiki/COMSATS_University_Islamabad,http://comsats.edu.pk,"bs and bachelor, ms in artificial intelligence, ms in biochemistry and molecular biology, ms in bioinformatics, ms in biosciences, ms in biotechnology, ms in chemical engineering, ms in chemistry, ms in civil engineering, ms in computer engineering, ms in computer science, ms in conflict, ms in development studies, ms in earth sciences, ms in economics, ms in electrical engineering, ms in energy & environmental engineering, ms in english, ms in environmental engineering, ms in environmental sciences, ms in health informatics, ms in information security, ms in international relations, ms in management sciences, ms in mathematics, ms in mechanical engineering, ms in meteorology, ms in microbiology and immunology, ms in molecular genetics, ms in molecular virology, ms in pharmacy, ms in physics, ms in project management, ms in remote sensing & gis, ms in software engineering, ms in statistics, ms in water, phd faculty, phd in biochemistry and molecular biology, phd in biosciences, phd in biotechnology, phd in chemical engineering, phd in chemistry, phd in computer engineering, phd in computer science, phd in development studies, phd in electrical engineering, phd in environmental sciences, phd in management sciences, phd in mathematics, phd in meteorology, phd in microbiology and immunology, phd in molecular genetics, phd in pharmacy, phd in physics, phd in statistics",True,comsats university islamabad,fest_00545,comsats-isb,COMSATS University Islamabad,Islamabad Capital Territory,Islamabad,MS Electrical Engineering,Masters,Engineering,2.0,BE/BS Engg + GAT/test.,201249.0,"Research, Analytical, Design",https://islamabad.comsats.edu.pk/admissions,False,B
COMSATS University Islamabad,https://en.wikipedia.org/wiki/COMSATS_University_Islamabad,http://comsats.edu.pk,"bs and bachelor, ms in artificial intelligence, ms in biochemistry and molecular biology, ms in bioinformatics, ms in biosciences, ms in biotechnology, ms in chemical engineering, ms in chemistry, ms in civil engineering, ms in computer engineering, ms in computer science, ms in conflict, ms in development studies, ms in earth sciences, ms in economics, ms in electrical engineering, ms in energy & environmental engineering, ms in english, ms in environmental engineering, ms in environmental sciences, ms in health informatics, ms in information security, ms in international relations, ms in management sciences, ms in mathematics, ms in mechanical engineering, ms in meteorology, ms in microbiology and immunology, ms in molecular genetics, ms in molecular virology, ms in pharmacy, ms in physics, ms in project management, ms in remote sensing & gis, ms in software engineering, ms in statistics, ms in water, phd faculty, phd in biochemistry and molecular biology, phd in biosciences, phd in biotechnology, phd in chemical engineering, phd in chemistry, phd in computer engineering, phd in computer science, phd in development studies, phd in electrical engineering, phd in environmental sciences, phd in management sciences, phd in mathematics, phd in meteorology, phd in microbiology and immunology, phd in molecular genetics, phd in pharmacy, phd in physics, phd in statistics",True,comsats university islamabad,fest_00546,comsats-isb,COMSATS University Islamabad,Islamabad Capital Territory,Islamabad,PhD Engineering,PhD,Engineering,3.0,MS/MPhil Engg + proposal.,201249.0,"Research, Innovation, Persistence",https://islamabad.comsats.edu.pk/admissions,False,B
