university_name,city,province,program_name,level,field,fee_per_year,apply_url,website_url,fest_bucket
NED University of Engineering & Technology,Karachi,Sindh,BE Electrical Engineering,Bachelors,Engineering,120749,https://www.neduet.edu.pk/admissions,http://www.neduet.edu.pk/,Engineering
NED University of Engineering & Technology,Karachi,Sindh,BE Mechanical Engineering,Bachelors,Engineering,120749,https://www.neduet.edu.pk/admissions,http://www.neduet.edu.pk/,Engineering
NED University of Engineering & Technology,Karachi,Sindh,BE Civil Engineering,Bachelors,Engineering,120749,https://www.neduet.edu.pk/admissions,http://www.neduet.edu.pk/,Engineering
NED University of Engineering & Technology,Karachi,Sindh,BSc Engineering (Computer/Software),Bachelors,Engineering,120749,https://www.neduet.edu.pk/admissions,http://www.neduet.edu.pk/,Engineering
NED University of Engineering & Technology,Karachi,Sindh,MS Electrical Engineering,Masters,Engineering,120749,https://www.neduet.edu.pk/admissions,http://www.neduet.edu.pk/,Engineering
NED University of Engineering & Technology,Karachi,Sindh,PhD Engineering,PhD,Engineering,120749,https://www.neduet.edu.pk/admissions,http://www.neduet.edu.pk/,Engineering
NED University of Engineering & Technology,Karachi,Sindh,BS Computer Science,Bachelors,IT,120749,https://www.neduet.edu.pk/admissions,http://www.neduet.edu.pk/,IT/CS
NED University of Engineering & Technology,Karachi,Sindh,BS Software Engineering,Bachelors,IT,120749,https://www.neduet.edu.pk/admissions,http://www.neduet.edu.pk/,Engineering
NED University of Engineering & Technology,Karachi,Sindh,BS Data Science,Bachelors,IT,120749,https://www.neduet.edu.pk/admissions,http://www.neduet.edu.pk/,IT/CS
NED University of Engineering & Technology,Karachi,Sindh,BS Artificial Intelligence,Bachelors,IT,120749,https://www.neduet.edu.pk/admissions,http://www.neduet.edu.pk/,IT/CS
NED University of Engineering & Technology,Karachi,Sindh,MS Computer Science,Masters,IT,120749,https://www.neduet.edu.pk/admissions,http://www.neduet.edu.pk/,IT/CS
NED University of Engineering & Technology,Karachi,Sindh,PhD Computer Science,PhD,IT,120749,https://www.neduet.edu.pk/admissions,http://www.neduet.edu.pk/,IT/CS
Dawood University of Engineering & Technology (DUET),Karachi,Sindh,BE Electrical Engineering,Bachelors,Engineering,92000,https://www.duet.edu.pk/admissions,,Engineering
Dawood University of Engineering & Technology (DUET),Karachi,Sindh,BE Mechanical Engineering,Bachelors,Engineering,92000,https://www.duet.edu.pk/admissions,,Engineering
Dawood University of Engineering & Technology (DUET),Karachi,Sindh,BE Civil Engineering,Bachelors,Engineering,92000,https://www.duet.edu.pk/admissions,,Engineering
Dawood University of Engineering & Technology (DUET),Karachi,Sindh,BSc Engineering (Computer/Software),Bachelors,Engineering,92000,https://www.duet.edu.pk/admissions,,Engineering
Dawood University of Engineering & Technology (DUET),Karachi,Sindh,MS Electrical Engineering,Masters,Engineering,92000,https://www.duet.edu.pk/admissions,,Engineering
Dawood University of Engineering & Technology (DUET),Karachi,Sindh,PhD Engineering,PhD,Engineering,92000,https://www.duet.edu.pk/admissions,,Engineering
Dawood University of Engineering & Technology (DUET),Karachi,Sindh,BS Computer Science,Bachelors,IT,92000,https://www.duet.edu.pk/admissions,,IT/CS
Dawood University of Engineering & Technology (DUET),Karachi,Sindh,BS Software Engineering,Bachelors,IT,92000,https://www.duet.edu.pk/admissions,,Engineering
Dawood University of Engineering & Technology (DUET),Karachi,Sindh,BS Data Science,Bachelors,IT,92000,https://www.duet.edu.pk/admissions,,IT/CS
Dawood University of Engineering & Technology (DUET),Karachi,Sindh,BS Artificial Intelligence,Bachelors,IT,92000,https://www.duet.edu.pk/admissions,,IT/CS
